"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value","viability_res"
"C85",0.366,209,0.571,25.6,"EXP_3",108.06130619974,108.06130619974,90.5187097823473
"C85",0.366,219,0.314,160,"EXP_3",85.792349726776,72.5028549060551,50.5322804405052
"C85",0.366,229,0.211,400,"EXP_3",57.6502732240437,54.177363690308,0
"C85",0.366,239,0.248,1000,"EXP_3",67.7595628415301,59.0986712461663,18.1523725854243
"C89",0.257,190,0.257,0,"EXP_3",100,100,78.889581895209
"C89",0.257,200,0.36,4,"EXP_3",110.350227708223,110.350227708223,100
"C89",0.257,210,0.294,25.6,"EXP_3",109.774028165434,109.774028165434,98.824778197836
"C89",0.257,220,0.227,160,"EXP_3",88.3268482490272,67.1415157680235,55.0809159401663
"C89",0.257,230,0.247,400,"EXP_3",96.1089494163424,53.9429701364227,70.9533599101948
"C89",0.257,240,0.352,1000,"EXP_3",61.3212238446092,61.3212238446092,0
